,TimeStep,EnergyCost,QoS,Switching
191,573,0.23479257840692994,0.14085278873907975,0.006000000000000001
192,576,0.27885621493577956,0.1172721701277574,0.012000000000000002
193,579,0.19928849578857424,0.12137488845188624,0.006000000000000001
194,582,0.19841608198106286,0.11100149294685403,0.006000000000000001
195,585,0.21702129237413406,0.09200837631481097,0.008
196,588,0.17810061310350897,0.09719843260965563,0.004
197,591,0.26558715454816817,0.05937609635505369,0.014000000000000002
198,594,0.16075925492584706,0.06942515754626673,0.002
199,597,0.1606017521470785,0.06874296785798217,0.002
200,600,0.24800246178209778,0.06425693183335116,0.012000000000000002
201,603,0.1807479760766029,0.06255886267495066,0.002
202,606,0.2733959469544887,0.0972310418158854,0.014000000000000002
203,609,0.18943092987298965,0.14012400558163018,0.004
204,612,0.25348567807674405,0.17143138728357205,0.006000000000000001
205,615,0.27070219232082365,0.19187742576361105,0.006000000000000001
206,618,0.24904916961193085,0.24519910288251698,0.006000000000000001
207,621,0.23107273229598996,0.29374605169771056,0.006000000000000001
208,624,0.23951493229866028,0.26311186399744374,0.002
209,627,0.28274034162998196,0.20389500082019263,0.006000000000000001
210,630,0.3473171769475936,0.22244587994641168,0.01
211,633,0.39908954139232633,0.19829585198733848,0.01
212,636,0.3195504608345031,0.20765108400429497,0.004
213,639,0.31679498938322065,0.19338049340420013,0.002
214,642,0.30113014942646027,0.24479408464552804,0.0
215,645,0.34841817908763884,0.24095981991525212,0.008
216,648,0.4496475608253478,0.32560909415508127,0.01
217,651,0.3760994418811798,0.22207338685046188,0.004
218,654,0.4319179019165038,0.23660191478107348,0.008
219,657,0.5838792505073547,0.18158479381917794,0.012
220,660,0.33818739040374757,0.20050909457331184,0.004
221,663,0.3268064649295807,0.2586147040380281,0.002
222,666,0.3404854252052306,0.2468552155475985,0.006000000000000001
223,669,0.3193110559773445,0.21570764240865284,0.004
224,672,0.31888463926792143,0.2574487896727817,0.004
225,675,0.33027755531072617,0.25089732477926135,0.008
226,678,0.36487445663452145,0.302105887079158,0.004
227,681,0.3586960240030288,0.3006658189289335,0.004
228,684,0.4373562849712372,0.2773851689910452,0.008
229,687,0.4771864099788665,0.24472306021881973,0.004
230,690,0.4600224820518493,0.19530979172931662,0.004
231,693,0.5035607843399048,0.23037315619334792,0.004
232,696,0.5643389778828621,0.15986338298119052,0.01
233,699,0.48610218983888615,0.17365864239569637,0.004
234,702,0.5681527168607712,0.20045185029038975,0.01
235,705,0.5938899374771119,0.2126416676782667,0.006000000000000001
236,708,0.6017140500390529,0.13042222896251465,0.006000000000000001
237,711,0.5051464293766021,0.17008674039726585,0.004
238,714,0.2356357800865173,0.14509709569969423,0.002
239,717,0.29122798927903176,0.11623294167288696,0.008
240,720,0.2503249634885788,0.09750887966088201,0.004
241,723,0.23932677966713903,0.09676229112830502,0.01
242,726,0.19819753282248972,0.08960965921858972,0.006000000000000001
243,729,0.14400000000000002,0.08847330235449721,0.0
244,732,0.22994077408969404,0.05243984498354698,0.01
245,735,0.1953601181101799,0.05403087007565213,0.006000000000000001
246,738,0.23024117265343663,0.05628288420811332,0.01
247,741,0.2495660520458221,0.051754725616024747,0.012000000000000002
248,744,0.1998496672046185,0.055734132379709755,0.006000000000000001
249,747,0.27505491152286526,0.06748214429147197,0.012000000000000002
250,750,0.18506281336069105,0.09953753727196438,0.002
251,753,0.24929108385801313,0.09956247750189803,0.006000000000000001
252,756,0.27317640847206115,0.16146049710429666,0.004
253,759,0.19095733569145198,0.23444595210942581,0.0
254,762,0.16546233309745786,0.28924244629760104,0.0
255,765,0.24813174984455105,0.19538529051990658,0.01
256,768,0.33869805556297294,0.21756157304490753,0.012000000000000002
257,771,0.2623416371870041,0.20589967225937159,0.002
258,774,0.2803839499926567,0.17366815533679805,0.012
259,777,0.34740208721637716,0.20818543440501894,0.016
260,780,0.2531083968400955,0.2001724690978773,0.004
261,783,0.33223433426856985,0.34375771527207805,0.01
262,786,0.22210325271606443,0.21907147307517325,0.002
263,789,0.3022950436019897,0.2337434714665504,0.01
264,792,0.269477011013031,0.2601103160193978,0.004
265,795,0.3200549217796326,0.22527648047735693,0.008
266,798,0.3565124477005004,0.18459464584295088,0.004
267,801,0.43400635774612417,0.15248144586380455,0.01
268,804,0.409814130077362,0.20797824541852108,0.002
269,807,0.3731550488233566,0.23496985599107287,0.002
270,810,0.47065624330043787,0.19234131669755863,0.008
271,813,0.5240571734189987,0.16833371383744608,0.01
272,816,0.44598393681049336,0.17558763826072174,0.002
273,819,0.49168531581401814,0.26355375569599565,0.006000000000000001
274,822,0.4843463562011718,0.2933998969152017,0.002
275,825,0.38322881016254423,0.29604392801451834,0.006000000000000001
276,828,0.4701081070804596,0.26021544560689697,0.008
277,831,0.4448728754854202,0.2348544538493592,0.002
278,834,0.41735604113101954,0.3662255837439018,0.008
279,837,0.46638514453411106,0.21289564845599201,0.008
280,840,0.4914818494462967,0.3239134911400201,0.006000000000000001
